Order_ID,Order_Date,Order_Time,Customer_ID,Customer_Name,Customer_Email,Customer_Phone,Customer_Age,Customer_Gender,Customer_City,Customer_State,Customer_Country,Customer_Zip,Customer_Segment,Product_Name,Product_Category,SKU,Quantity,Unit_Price_INR,Discount_Percent,Discount_Amount_INR,Tax_Amount_INR,Total_Amount_INR,Payment_Method,Payment_Status,Shipping_Method,Shipping_Cost_INR,Order_Status,Delivery_Date,Days_to_Deliver,Customer_Rating,Customer_Review,Sales_Channel,Referral_Source,First_Time_Customer,Customer_Lifetime_Orders,Marketing_Campaign
ORD-10001,2025-09-09,14:01:35,CUST-5458,Ananya Agarwal,ananya.agarwal44@email.com,+91-9526842699,26,Female,Vijayawada,Andhra Pradesh,India,520001,Regular,Plant Protein Powder (500 gm),Protein Supplements,PLT-PRO-500,2,1399,0,0.0,419.7,3317.7,Debit Card,Completed,Express,100,Delivered,2025-09-12,3,5,Highly recommend!,Website,Direct,No,14,Quick Start Pack
ORD-10002,2025-09-25,12:54:56,CUST-5333,Shilpa Rao,shilpa.rao9@email.com,+91-9059836951,36,Female,Bhopal,Madhya Pradesh,India,462001,Premium,Clear Skin Pack| 1x Rejuv Face Serum + 1x Derma Roller,Skin Care - Kits,CLR-SKN-PACK,3,1299,10,389.7,526.1,4133.4,COD,Completed,Express,100,Delivered,2025-09-27,2,5,Outstanding quality!,Mobile App,Google Ads,No,15,Beard Goals
ORD-10003,2025-09-30,08:54:11,CUST-5338,Deepak Mehta,deepak.mehta24@email.com,+91-9609748200,44,Male,Kolkata,West Bengal,India,700001,Premium,Scalp Massager (1N),Hair Care - Tools,SCP-MAS-001,1,299,10,29.9,40.37,359.47,COD,Completed,Standard,50,Delivered,2025-10-04,4,5,Best purchase!,Mobile App,Direct,No,15,Advanced Wellness
ORD-10004,2025-09-22,11:20:35,CUST-5150,Lakshmi Agarwal,lakshmi.agarwal61@email.com,+91-9092436489,36,Female,Delhi,Delhi,India,110001,Premium,Stage 4 Hair Regrowth Solution,Hair Care - Kits,HR-STG4-KIT,1,3499,5,174.95,498.61,3922.66,Debit Card,Completed,Express,100,Delivered,2025-09-29,7,5,Highly recommend!,Mobile App,Facebook Ads,No,1,Advanced Wellness
ORD-10005,2025-09-25,17:43:03,CUST-5032,Harish Reddy,harish.reddy48@email.com,+91-9880555014,30,Male,Nagpur,Maharashtra,India,440001,Regular,Gut Strength Kit,Health Kits,GUT-KIT-001,2,2299,0,0.0,689.7,5387.7,COD,Completed,Express,100,Delivered,2025-10-02,7,5,Excellent!,Website,Facebook Ads,No,4,Health Plus
ORD-10006,2025-09-17,16:38:27,CUST-5375,Ananya Rao,ananya.rao81@email.com,+91-9840495074,46,Female,Ahmedabad,Gujarat,India,380001,Regular,Advanced Hair Serum,Hair Care - Serums,AHS-001,2,899,5,89.9,256.21,2064.31,Debit Card,Completed,Express,100,Delivered,2025-09-19,2,5,Highly recommend!,Mobile App,Youtube,No,9,Immunity Boost
ORD-10007,2025-09-06,16:47:45,CUST-5101,Krishna Desai,krishna.desai46@email.com,+91-9757312915,33,Male,Vadodara,Gujarat,India,390001,Regular,Beard Activator Kit for 22-28 + Lifestyle Concern,Beard Care - Kits,BRD-ACT-2228,1,2299,10,229.9,310.36,2479.46,UPI,Completed,Express,100,Delivered,2025-09-13,7,4,Good value for money.,Mobile App,Email Campaign,Yes,1,Gut Health Focus
ORD-10008,2025-09-21,12:00:02,CUST-5306,Anand Kumar,anand.kumar15@email.com,+91-9924175266,24,Male,Mysore,Karnataka,India,570001,Regular,Beard Development Kit for 22-28 + Lifestyle Concern,Beard Care - Kits,BRD-DEV-2228L,2,2399,5,239.9,683.72,5341.82,UPI,Completed,Express,100,Delivered,2025-09-26,5,4,Happy with purchase.,Website,Email Campaign,No,13,Summer Fitness
ORD-10009,2025-09-10,09:36:35,CUST-5183,Suma Kapoor,suma.kapoor93@email.com,+91-9613257623,36,Female,Varanasi,Uttar Pradesh,India,221001,Regular,Advanced Hair Serum,Hair Care - Serums,AHS-001,1,899,15,134.85,114.62,978.77,Debit Card,Completed,Express,100,Delivered,2025-09-17,7,3,Decent purchase.,Mobile App,Facebook Ads,No,14,Winter Prep
ORD-10010,2025-09-16,17:18:36,CUST-5136,Madhavi Menon,madhavi.menon23@email.com,+91-9982958295,41,Female,Coimbatore,Tamil Nadu,India,641001,Premium,Beard Growth Kit for Low Beard,Beard Care - Kits,BRD-LOW-KIT,1,1899,15,284.85,242.12,1956.27,Credit Card,Completed,Express,100,Delivered,2025-09-21,5,5,Excellent!,Website,Direct,No,9,Hydration Hero
ORD-10011,2025-09-28,12:31:17,CUST-5069,Vishal Singh,vishal.singh60@email.com,+91-9288869717,22,Male,Visakhapatnam,Andhra Pradesh,India,530001,Regular,Magnesium Glycinate Gummies 60N,Gummies & Supplements,MAG-GLY-60N,2,799,5,79.9,227.71,1795.81,COD,Completed,Standard,50,Delivered,2025-10-04,6,5,Excellent!,Website,Email Campaign,Yes,1,Hydration Hero
ORD-10012,2025-09-15,08:54:19,CUST-5341,Rajesh Reddy,rajesh.reddy31@email.com,+91-9759922772,36,Male,Mysore,Karnataka,India,570001,Regular,Water Softener,Home Care,WTR-SOFT-001,2,1299,10,259.8,350.73,2788.93,Debit Card,Completed,Express,100,Delivered,2025-09-19,4,3,Average quality.,Mobile App,Facebook Ads,No,2,Winter Prep
ORD-10013,2025-09-26,17:35:18,CUST-5108,Savitha Rao,savitha.rao48@email.com,+91-9102003976,25,Female,Delhi,Delhi,India,110001,Regular,Creatine Gummies,Gummies & Supplements,CRE-GUM-001,1,799,0,0.0,119.85,968.85,Credit Card,Completed,Standard,50,Delivered,2025-09-30,4,5,Highly recommend!,Mobile App,Facebook Ads,No,9,Hair Growth Challenge
ORD-10014,2025-09-28,13:21:43,CUST-5334,Savitha Gupta,savitha.gupta81@email.com,+91-9688191739,25,Female,Pune,Maharashtra,India,411001,Regular,Anti-Dandruff Shampoo (100 ml),Hair Care - Shampoos,ADS-100ML,1,299,15,44.85,38.12,392.27,UPI,Completed,Express,100,In Transit,,,,,Mobile App,Organic Search,No,15,Summer Fitness
ORD-10015,2025-09-05,12:57:20,CUST-5464,Manju Agarwal,manju.agarwal34@email.com,+91-9898632761,46,Female,Varanasi,Uttar Pradesh,India,221001,Regular,TOSTERO 120 Capsules,Performance Supplements,TST-120CAP,2,1999,0,0.0,599.7,4647.7,UPI,Completed,Standard,50,Delivered,2025-09-11,6,4,Good value for money.,Website,Facebook Ads,Yes,1,Monsoon Care
ORD-10016,2025-10-01,11:27:33,CUST-5445,Aditya Iyer,aditya.iyer46@email.com,+91-9270351224,40,Male,Bangalore,Karnataka,India,560001,Regular,Advance Magnesium Care,Body Care,ADV-MAG-001,1,999,15,149.85,127.37,1076.52,UPI,Pending,Express,100,Processing,,,,,Website,Google Ads,Yes,1,Performance Max
ORD-10017,2025-09-21,14:21:25,CUST-5068,Priya Mehta,priya.mehta96@email.com,+91-9975785570,45,Female,Jaipur,Rajasthan,India,302001,Regular,Anti-Dandruff Shampoo (200 ml),Hair Care - Shampoos,ADS-200ML,1,449,10,44.9,60.62,514.72,Credit Card,Completed,Standard,50,Delivered,2025-09-26,5,5,Love it!,Mobile App,Instagram,Yes,1,Immunity Boost
ORD-10018,2025-09-26,17:04:33,CUST-5170,Amit Gupta,amit.gupta55@email.com,+91-9405295464,27,Male,Patna,Bihar,India,800001,Regular,Multivitamin Gummies (60N) No Sugar,Gummies & Supplements,MLT-GUM-60N,1,799,10,79.9,107.86,926.97,COD,Completed,Express,100,Delivered,2025-09-30,4,5,Love it!,Mobile App,Direct,No,10,Beard Goals
ORD-10019,2025-09-19,13:55:46,CUST-5427,Manoj Sharma,manoj.sharma15@email.com,+91-9146673725,22,Male,Chennai,Tamil Nadu,India,600001,Regular,Whey Protein 1 Kg,Protein Supplements,WHY-1KG-001,1,2499,20,499.8,299.88,2349.08,Debit Card,Completed,Standard,50,Delivered,2025-09-21,2,3,Decent purchase.,Mobile App,Email Campaign,No,9,Bulk Buy September
ORD-10020,2025-10-01,10:47:11,CUST-5251,Mohan Iyer,mohan.iyer10@email.com,+91-9859841955,29,Male,Rajkot,Gujarat,India,360001,Regular,Charcoal Body Wash (500 ml),Body Care - Cleansers,CHR-BW-500ML,1,449,5,22.45,63.98,590.53,UPI,Pending,Express,100,Processing,,,,,Website,Youtube,No,11,Beard Goals
ORD-10021,2025-09-20,15:54:48,CUST-5112,Manju Rao,manju.rao5@email.com,+91-9900360590,36,Female,Kochi,Kerala,India,682001,Regular,Endure Long Last Spray (20ml),Performance Products,END-SPR-20ML,1,799,10,79.9,107.86,876.97,UPI,Completed,Standard,50,Delivered,2025-09-26,6,5,Amazing product!,Mobile App,Email Campaign,No,12,Beard Goals
ORD-10022,2025-10-03,10:08:40,CUST-5451,Naveen Malhotra,naveen.malhotra95@email.com,+91-9126753385,32,Male,Rajkot,Gujarat,India,360001,Regular,Hair Activator+ (Derma Roller),Hair Care - Tools,HA-DR-001,1,599,15,89.85,76.37,635.52,UPI,Pending,Standard,50,Processing,,,,,Mobile App,Direct,No,11,Stress Relief
ORD-10023,2025-09-07,10:32:14,CUST-5022,Arjun Joshi,arjun.joshi88@email.com,+91-9026089242,32,Male,Visakhapatnam,Andhra Pradesh,India,530001,Regular,10% Magnesium Body Lotion - 200 ml,Body Care,MAG-LOT-200ML,1,649,20,129.8,77.88,647.08,Credit Card,Completed,Standard,50,Delivered,2025-09-11,4,4,Happy with purchase.,Website,Facebook Ads,No,11,Beard Goals
ORD-10024,2025-09-27,08:46:35,CUST-5386,Amit Reddy,amit.reddy61@email.com,+91-9367803014,47,Male,Ludhiana,Punjab,India,141001,Regular,Advanced Hair Serum,Hair Care - Serums,AHS-001,1,899,15,134.85,114.62,928.77,Credit Card,Completed,Standard,50,In Transit,,,,,Website,Youtube,Yes,1,Hydration Hero
ORD-10025,2025-09-27,09:55:15,CUST-5281,Manju Pillai,manju.pillai2@email.com,+91-9000721115,46,Female,Nagpur,Maharashtra,India,440001,Premium,Complete Beard Activator Kit for 18-21 + Genetics Concern,Beard Care - Kits,BRD-ACT-1821,1,2499,0,0.0,374.85,2923.85,Credit Card,Completed,Standard,50,In Transit,,,,,Website,Facebook Ads,No,4,Advanced Wellness
ORD-10026,2025-09-11,13:13:16,CUST-5393,Aditya Gupta,aditya.gupta35@email.com,+91-9776891698,35,Male,Delhi,Delhi,India,110001,Regular,Moderate Dandruff Kit,Hair Care - Kits,MDK-001,1,1499,15,224.85,191.12,1515.27,UPI,Completed,Standard,50,Delivered,2025-09-16,5,5,Highly recommend!,Mobile App,Organic Search,No,11,Plant Power
ORD-10027,2025-09-09,15:50:25,CUST-5047,Ravi Malhotra,ravi.malhotra7@email.com,+91-9828137994,34,Male,Nashik,Maharashtra,India,422001,Premium,Charcoal Body Wash (750 ml),Body Care - Cleansers,CHR-BW-750ML,1,599,10,59.9,80.86,719.97,Debit Card,Completed,Express,100,Delivered,2025-09-11,2,4,Satisfied with quality.,Website,Organic Search,No,18,Advanced Wellness
